"Function","Inferred responsibility","Evidence","Confidence"
"__getstream","Named Visual C++ runtime/library helper: __getstream.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00441aa9, calling convention __cdecl, parameter count 0, and return type FILE *. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_00441bc2","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00441bc2 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __stdcall, parameter count 0, and return type undefined.","Medium"
"__aulldiv","Named Visual C++ runtime/library helper: __aulldiv.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00441bd0, calling convention __stdcall, parameter count 4, and return type undefined8. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__mtinitlocks","Named Visual C++ runtime/library helper: __mtinitlocks.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00441c38, calling convention __cdecl, parameter count 0, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__mtdeletelocks","Named Visual C++ runtime/library helper: __mtdeletelocks.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00441c81, calling convention __cdecl, parameter count 0, and return type void. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"FUN_00441cd6","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00441cd6 is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 1, and return type undefined.","Medium"
"FUN_00441ceb","Anonymous Visual C++ compiler/CRT support routine in the runtime tail of the binary.","Entry 00441ceb is in the post-0043e470 runtime region. FunctionsMapping.md notes that most functions from this region onward are Visual C++ runtime, exception, heap, file I/O, locale, startup, or low-level OS wrapper code rather than Logic Friday business logic. functions.tsv lists calling convention __cdecl, parameter count 1, and return type undefined4.","Medium"
"__lock","Named Visual C++ runtime/library helper: __lock.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00441d6a, calling convention __cdecl, parameter count 1, and return type void. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__callnewh","Named Visual C++ runtime/library helper: __callnewh.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00441d9b, calling convention __cdecl, parameter count 1, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"___heap_select","Named Visual C++ runtime/library helper: ___heap_select.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00441db6, calling convention __stdcall, parameter count 0, and return type undefined4. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"__heap_init","Named Visual C++ runtime/library helper: __heap_init.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00441dd0, calling convention __cdecl, parameter count 0, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"___sbh_heap_init","Named Visual C++ runtime/library helper: ___sbh_heap_init.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00441e21, calling convention __cdecl, parameter count 1, and return type undefined4. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"___sbh_find_block","Named Visual C++ runtime/library helper: ___sbh_find_block.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00441e69, calling convention __cdecl, parameter count 1, and return type uint. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"___sbh_free_block","Named Visual C++ runtime/library helper: ___sbh_free_block.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00441e94, calling convention __cdecl, parameter count 2, and return type undefined. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"___sbh_alloc_new_region","Named Visual C++ runtime/library helper: ___sbh_alloc_new_region.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 004421ac, calling convention __stdcall, parameter count 0, and return type undefined4 *. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"___sbh_alloc_new_group","Named Visual C++ runtime/library helper: ___sbh_alloc_new_group.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00442263, calling convention __cdecl, parameter count 1, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"___sbh_resize_block","Named Visual C++ runtime/library helper: ___sbh_resize_block.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00442369, calling convention __cdecl, parameter count 3, and return type undefined4. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"___sbh_alloc_block","Named Visual C++ runtime/library helper: ___sbh_alloc_block.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00442648, calling convention __cdecl, parameter count 1, and return type int *. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
"___ascii_strnicmp","Named Visual C++ runtime/library helper: ___ascii_strnicmp.","Function has a recovered symbolic library/runtime name rather than an anonymous FUN_* decompiler name. Decompiled/functions.tsv lists entry 00442950, calling convention __cdecl, parameter count 3, and return type int. Treat as linked CRT/compiler support unless later evidence shows application-specific behavior.","High"
